trade_id,instrument_id,asset_type,open_date,close_date,holding_period_days,matched_quantity,cost_basis,proceeds,realized_pnl,return_percentage,confidence,reason_codes
trade_001,instrument_reentry,equity,2021-01-01,2021-01-01,0,1,100,50,-50,-50,high_confidence,
trade_002,instrument_reentry,equity,2021-01-05,2021-01-06,1,1,100,80,-20,-20,high_confidence,
trade_003,instrument_reentry,equity,2021-01-15,2021-01-20,5,1,100,130,30,30,high_confidence,
trade_004,instrument_reentry,equity,2021-02-05,2021-02-20,15,1,100,60,-40,-40,high_confidence,
trade_025,instrument_reentry,equity,2021-03-10,2021-03-20,10,1,100,65,-35,-35,high_confidence,
trade_026,instrument_reentry,equity,2021-03-25,2021-04-04,10,1,100,135,35,35,high_confidence,
trade_005,instrument_concentrated,equity,2021-01-07,2021-02-15,39,1,100,-400,-500,-500,high_confidence,
trade_006,instrument_concentrated,equity,2021-02-01,2021-03-15,42,1,100,-20,-120,-120,high_confidence,
trade_007,instrument_concentrated,equity,2021-03-01,2021-04-15,45,1,100,20,-80,-80,high_confidence,
trade_008,instrument_e1,equity,2021-02-01,2021-02-03,2,1,100,125,25,25,high_confidence,
trade_009,instrument_e2,equity,2021-02-04,2021-02-05,1,1,100,115,15,15,high_confidence,
trade_010,instrument_e3,equity,2021-03-01,2021-03-05,4,1,100,120,20,20,high_confidence,
trade_011,instrument_e4,equity,2021-03-06,2021-03-08,2,1,100,115,15,15,high_confidence,
trade_012,instrument_e5,equity,2021-04-01,2021-04-03,2,1,100,130,30,30,high_confidence,
trade_013,instrument_e6,equity,2021-04-05,2021-04-07,2,1,100,112,12,12,high_confidence,
trade_014,instrument_e7,equity,2021-05-01,2021-05-01,0,1,100,118,18,18,high_confidence,
trade_015,instrument_e8,equity,2021-05-02,2021-05-04,2,1,100,122,22,22,high_confidence,
trade_016,instrument_e9,equity,2021-06-01,2021-06-10,9,1,100,70,-30,-30,high_confidence,
trade_017,instrument_e10,equity,2021-06-02,2021-06-11,9,1,100,135,35,35,high_confidence,
trade_018,instrument_o1,option,2021-06-03,2021-06-12,9,1,100,30,-70,-70,high_confidence,
trade_019,instrument_o2,option,2021-06-04,2021-06-13,9,1,100,40,-60,-60,high_confidence,
trade_020,instrument_o3,option,2021-07-01,2021-07-15,14,1,100,60,-40,-40,high_confidence,
trade_021,instrument_o4,option,2021-07-02,2021-07-16,14,1,100,125,25,25,high_confidence,
trade_022,instrument_o5,option,2021-08-01,2021-08-10,9,1,100,65,-35,-35,high_confidence,
trade_023,instrument_e11,equity,2022-01-01,2022-01-10,9,1,100,140,40,40,high_confidence,
trade_024,instrument_o6,option,2022-02-01,2022-02-20,19,1,100,55,-45,-45,high_confidence,
