date,opening_cash,external_inflows,external_outflows,trading_cash_flow,income,fees,financing_costs,internal_transfers,other_cash_flow,net_cash_movement,closing_cash,balance_confidence,cash_position_type
2019-01-01,10000.00,10000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10000.00,20000.00,verified,verified_account_balance
2019-01-02,20000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20000.00,derived,verified_account_balance
2019-01-03,20000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20000.00,derived,verified_account_balance
2019-01-04,20000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20000.00,derived,verified_account_balance
2019-01-05,20000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20000.00,derived,verified_account_balance
2019-01-06,20000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20000.00,derived,verified_account_balance
2019-01-07,20000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20000.00,derived,verified_account_balance
2019-01-08,20000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20000.00,derived,verified_account_balance
2019-01-09,20000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20000.00,derived,verified_account_balance
2019-01-10,20000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20000.00,derived,verified_account_balance
2019-01-11,20000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20000.00,derived,verified_account_balance
2019-01-12,20000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20000.00,derived,verified_account_balance
2019-01-13,20000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20000.00,derived,verified_account_balance
2019-01-14,20000.00,0.00,0.00,-1000.00,0.00,0.00,0.00,0.00,0.00,-1000.00,19000.00,derived,verified_account_balance
2019-01-15,19000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19000.00,derived,verified_account_balance
2019-01-16,19000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19000.00,derived,verified_account_balance
2019-01-17,19000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19000.00,derived,verified_account_balance
2019-01-18,19000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19000.00,derived,verified_account_balance
2019-01-19,19000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19000.00,derived,verified_account_balance
2019-01-20,19000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19000.00,derived,verified_account_balance
2019-01-21,19000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19000.00,derived,verified_account_balance
2019-01-22,19000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19000.00,derived,verified_account_balance
2019-01-23,19000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19000.00,derived,verified_account_balance
2019-01-24,19000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19000.00,derived,verified_account_balance
2019-01-25,19000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19000.00,derived,verified_account_balance
2019-01-26,19000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19000.00,derived,verified_account_balance
2019-01-27,19000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19000.00,derived,verified_account_balance
2019-01-28,19000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19000.00,derived,verified_account_balance
2019-01-29,19000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19000.00,derived,verified_account_balance
2019-01-30,19000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19000.00,derived,verified_account_balance
2019-01-31,19000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19000.00,derived,verified_account_balance
2019-02-01,19000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19000.00,derived,verified_account_balance
2019-02-02,19000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19000.00,derived,verified_account_balance
2019-02-03,19000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19000.00,derived,verified_account_balance
2019-02-04,19000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19000.00,derived,verified_account_balance
2019-02-05,19000.00,0.00,0.00,-120.00,0.00,0.00,0.00,0.00,0.00,-120.00,18880.00,derived,verified_account_balance
2019-02-06,18880.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18880.00,derived,verified_account_balance
2019-02-07,18880.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18880.00,derived,verified_account_balance
2019-02-08,18880.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18880.00,derived,verified_account_balance
2019-02-09,18880.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18880.00,derived,verified_account_balance
2019-02-10,18880.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18880.00,derived,verified_account_balance
2019-02-11,18880.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18880.00,derived,verified_account_balance
2019-02-12,18880.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18880.00,derived,verified_account_balance
2019-02-13,18880.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18880.00,derived,verified_account_balance
2019-02-14,18880.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18880.00,derived,verified_account_balance
2019-02-15,18880.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18880.00,derived,verified_account_balance
2019-02-16,18880.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18880.00,derived,verified_account_balance
2019-02-17,18880.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18880.00,derived,verified_account_balance
2019-02-18,18880.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18880.00,derived,verified_account_balance
2019-02-19,18880.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18880.00,derived,verified_account_balance
2019-02-20,18880.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18880.00,derived,verified_account_balance
2019-02-21,18880.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18880.00,derived,verified_account_balance
2019-02-22,18880.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18880.00,derived,verified_account_balance
2019-02-23,18880.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18880.00,derived,verified_account_balance
2019-02-24,18880.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18880.00,derived,verified_account_balance
2019-02-25,18880.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18880.00,derived,verified_account_balance
2019-02-26,18880.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18880.00,derived,verified_account_balance
2019-02-27,18880.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18880.00,derived,verified_account_balance
2019-02-28,18880.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18880.00,derived,verified_account_balance
2019-03-01,18880.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18880.00,derived,verified_account_balance
2019-03-02,18880.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18880.00,derived,verified_account_balance
2019-03-03,18880.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18880.00,derived,verified_account_balance
2019-03-04,18880.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18880.00,derived,verified_account_balance
2019-03-05,18880.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18880.00,derived,verified_account_balance
2019-03-06,18880.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18880.00,derived,verified_account_balance
2019-03-07,18880.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18880.00,derived,verified_account_balance
2019-03-08,18880.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18880.00,derived,verified_account_balance
2019-03-09,18880.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18880.00,derived,verified_account_balance
2019-03-10,18880.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18880.00,derived,verified_account_balance
2019-03-11,18880.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18880.00,derived,verified_account_balance
2019-03-12,18880.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18880.00,derived,verified_account_balance
2019-03-13,18880.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18880.00,derived,verified_account_balance
2019-03-14,18880.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18880.00,derived,verified_account_balance
2019-03-15,18880.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18880.00,derived,verified_account_balance
2019-03-16,18880.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18880.00,derived,verified_account_balance
2019-03-17,18880.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18880.00,derived,verified_account_balance
2019-03-18,18880.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18880.00,derived,verified_account_balance
2019-03-19,18880.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18880.00,derived,verified_account_balance
2019-03-20,18880.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18880.00,derived,verified_account_balance
2019-03-21,18880.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18880.00,derived,verified_account_balance
2019-03-22,18880.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18880.00,derived,verified_account_balance
2019-03-23,18880.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18880.00,derived,verified_account_balance
2019-03-24,18880.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18880.00,derived,verified_account_balance
2019-03-25,18880.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18880.00,derived,verified_account_balance
2019-03-26,18880.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18880.00,derived,verified_account_balance
2019-03-27,18880.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18880.00,derived,verified_account_balance
2019-03-28,18880.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18880.00,derived,verified_account_balance
