source_row_id,activity_date,settle_date,transaction_code,event_type,signed_amount,cash_category,external_cash_flow,internal_transfer,confidence,review_status,review_reason
1,2019-01-01,2019-01-01,ACH,deposit,10000.00,External contribution,true,false,deterministic,validated,
2,2019-01-10,2019-01-14,Buy,buy,-1000.00,Equity trade,false,false,deterministic,validated,
3,2019-08-15,2019-08-19,Sell,sell,600.00,Equity trade,false,false,deterministic,validated,
4,2019-02-01,2019-02-05,BTO,buy_to_open,-120.00,Option trade,false,false,deterministic,validated,
5,2019-05-20,2019-05-22,STC,sell_to_close,180.00,Option trade,false,false,deterministic,validated,
6,2019-09-20,2019-09-20,CDIV,dividend,18.75,Dividend or interest income,false,false,deterministic,validated,
7,2020-01-12,2020-01-14,Buy,buy,-400.00,Equity trade,false,false,deterministic,validated,
8,2020-03-05,2020-03-09,Sell,sell,300.00,Equity trade,false,false,deterministic,validated,
9,2020-01-20,2020-01-22,STO,sell_to_open,90.00,Option trade,false,false,deterministic,validated,
10,2020-03-10,2020-03-12,BTC,buy_to_close,-140.00,Option trade,false,false,deterministic,validated,
11,2020-04-15,2020-04-15,AFEE,adr_fee,-5.00,Fee,false,false,deterministic,validated,
12,2020-06-01,2020-06-01,MINT,margin_interest,-8.25,Margin/financing cost,false,false,deterministic,validated,
13,2020-11-02,2020-11-02,INT,internal_transfer,25.00,Internal Robinhood transfer,false,true,deterministic,validated,
14,2021-01-04,2021-01-06,Buy,buy,-500.00,Equity trade,false,false,deterministic,validated,
15,2021-02-01,2021-02-03,Sell,sell,80.00,Equity trade,false,false,deterministic,validated,
16,2021-02-01,2021-02-03,BTO,buy_to_open,-50.00,Option trade,false,false,deterministic,validated,
17,2021-03-15,2021-03-17,OEXCS,exercise,0.00,Other/review,false,false,review,review,cash_category_review
18,2021-02-10,2021-02-12,STC,sell_to_close,30.00,Option trade,false,false,deterministic,validated,
19,2021-03-18,2021-03-19,STC,sell_to_close,5.00,Option trade,false,false,deterministic,validated,
21,2021-12-31,2021-12-31,ACH,withdrawal,-250.00,External withdrawal,true,false,deterministic,validated,
22,2021-06-01,2021-06-03,Buy,buy,-300.00,Equity trade,false,false,deterministic,validated,
23,2021-07-01,2021-07-06,Sell,sell,360.00,Equity trade,false,false,deterministic,validated,
