source_row_id,activity_date,settle_date,transaction_code,event_type,security_key,cusip,primary_symbol,ticker_aliases,asset_type,option_underlying,option_expiration,option_type,option_strike,signed_quantity,position_side,confidence,review_status,review_reason
2,2019-01-10,2019-01-14,Buy,buy,equity:111111111,111111111,ACME,ACME,equity,,,,,10,,deterministic,validated,
4,2019-02-01,2019-02-05,BTO,buy_to_open,option:ACME:2019-06-21:call:7.50,,ACME,ACME,option,ACME,2019-06-21,call,7.50,1,long,deterministic,validated,
5,2019-05-20,2019-05-22,STC,sell_to_close,option:ACME:2019-06-21:call:7.50,,ACME,ACME,option,ACME,2019-06-21,call,7.50,-1,long,deterministic,validated,
3,2019-08-15,2019-08-19,Sell,sell,equity:111111111,111111111,ACME,ACME,equity,,,,,-4,,deterministic,validated,
7,2020-01-12,2020-01-14,Buy,buy,equity:333333333,333333333,ZETA,ZETA,equity,,,,,2,,deterministic,validated,
9,2020-01-20,2020-01-22,STO,sell_to_open,option:BETA:2020-03-20:put:20.00,,BETA,BETA,option,BETA,2020-03-20,put,20.00,-1,short,deterministic,validated,
8,2020-03-05,2020-03-09,Sell,sell,equity:333333333,333333333,ZETA,ZETA,equity,,,,,-2,,deterministic,validated,
10,2020-03-10,2020-03-12,BTC,buy_to_close,option:BETA:2020-03-20:put:20.00,,BETA,BETA,option,BETA,2020-03-20,put,20.00,1,short,deterministic,validated,
14,2021-01-04,2021-01-06,Buy,buy,equity:222222222,222222222,BETA,BETA,equity,,,,,5,,deterministic,validated,
15,2021-02-01,2021-02-03,Sell,sell,equity:777777777,777777777,GAMM,GAMM,equity,,,,,-1,,deterministic,validated,
16,2021-02-01,2021-02-03,BTO,buy_to_open,option:FOO:2021-04-16:call:15.00,,FOO,FOO,option,FOO,2021-04-16,call,15.00,1,long,deterministic,validated,
18,2021-02-10,2021-02-12,STC,sell_to_close,option:OMEG:2021-03-19:call:5.00,,OMEG,OMEG,option,OMEG,2021-03-19,call,5.00,-1,long,deterministic,validated,
17,2021-03-15,2021-03-17,OEXCS,exercise,option:FOO:2021-04-16:call:15.00,,FOO,FOO,option,FOO,2021-04-16,call,15.00,-1,long,deterministic,validated,
22,2021-06-01,2021-06-03,Buy,buy,equity:121212121,121212121,EPSI,EPSI,equity,,,,,3,,deterministic,validated,
23,2021-07-01,2021-07-06,Sell,sell,equity:121212121,121212121,EPSI,EPSI,equity,,,,,-3,,deterministic,validated,
20,2021-12-28,2022-01-03,Buy,buy,equity:999999999,999999999,DELT,DELT,equity,,,,,2,,deterministic,validated,
