date,security_key,trade_date_quantity,settled_quantity,trade_date_long_quantity,trade_date_short_quantity,settled_long_quantity,settled_short_quantity,anchor_date,confidence,review_status,review_reasons
2019-01-10,equity:111111111,10,0,0,0,0,0,,partial,validated,
2019-01-10,equity:121212121,0,0,0,0,0,0,,partial,validated,
2019-01-10,equity:222222222,0,0,0,0,0,0,,partial,validated,
2019-01-10,equity:333333333,0,0,0,0,0,0,,partial,validated,
2019-01-10,equity:999999999,0,0,0,0,0,0,,partial,validated,
2019-01-10,option:ACME:2019-06-21:call:7.50,0,0,0,0,0,0,,partial,validated,
2019-01-10,option:BETA:2020-03-20:put:20.00,0,0,0,0,0,0,,partial,validated,
2019-01-10,option:FOO:2021-04-16:call:15.00,0,0,0,0,0,0,,partial,validated,
2019-01-14,equity:111111111,10,10,0,0,0,0,,partial,validated,
2019-01-14,equity:121212121,0,0,0,0,0,0,,partial,validated,
2019-01-14,equity:222222222,0,0,0,0,0,0,,partial,validated,
2019-01-14,equity:333333333,0,0,0,0,0,0,,partial,validated,
2019-01-14,equity:999999999,0,0,0,0,0,0,,partial,validated,
2019-01-14,option:ACME:2019-06-21:call:7.50,0,0,0,0,0,0,,partial,validated,
2019-01-14,option:BETA:2020-03-20:put:20.00,0,0,0,0,0,0,,partial,validated,
2019-01-14,option:FOO:2021-04-16:call:15.00,0,0,0,0,0,0,,partial,validated,
2019-02-01,equity:111111111,10,10,0,0,0,0,,partial,validated,
2019-02-01,equity:121212121,0,0,0,0,0,0,,partial,validated,
2019-02-01,equity:222222222,0,0,0,0,0,0,,partial,validated,
2019-02-01,equity:333333333,0,0,0,0,0,0,,partial,validated,
2019-02-01,equity:999999999,0,0,0,0,0,0,,partial,validated,
2019-02-01,option:ACME:2019-06-21:call:7.50,1,0,1,0,0,0,,partial,validated,
2019-02-01,option:BETA:2020-03-20:put:20.00,0,0,0,0,0,0,,partial,validated,
2019-02-01,option:FOO:2021-04-16:call:15.00,0,0,0,0,0,0,,partial,validated,
2019-02-05,equity:111111111,10,10,0,0,0,0,,partial,validated,
2019-02-05,equity:121212121,0,0,0,0,0,0,,partial,validated,
2019-02-05,equity:222222222,0,0,0,0,0,0,,partial,validated,
2019-02-05,equity:333333333,0,0,0,0,0,0,,partial,validated,
2019-02-05,equity:999999999,0,0,0,0,0,0,,partial,validated,
2019-02-05,option:ACME:2019-06-21:call:7.50,1,1,1,0,1,0,,partial,validated,
2019-02-05,option:BETA:2020-03-20:put:20.00,0,0,0,0,0,0,,partial,validated,
2019-02-05,option:FOO:2021-04-16:call:15.00,0,0,0,0,0,0,,partial,validated,
2019-05-20,equity:111111111,10,10,0,0,0,0,,partial,validated,
2019-05-20,equity:121212121,0,0,0,0,0,0,,partial,validated,
2019-05-20,equity:222222222,0,0,0,0,0,0,,partial,validated,
2019-05-20,equity:333333333,0,0,0,0,0,0,,partial,validated,
2019-05-20,equity:999999999,0,0,0,0,0,0,,partial,validated,
2019-05-20,option:ACME:2019-06-21:call:7.50,0,1,0,0,1,0,,partial,validated,
2019-05-20,option:BETA:2020-03-20:put:20.00,0,0,0,0,0,0,,partial,validated,
2019-05-20,option:FOO:2021-04-16:call:15.00,0,0,0,0,0,0,,partial,validated,
